libelle_section_naf,montant,nombre,reg,color,montant_fr,nombre_fr
Commerce,85773460.00,1982.00,84,#29B6F6,"85,8 M€",1 982 aides
Industrie manufacturière,71156239.00,927.00,84,#AB47BC,"71,2 M€",927 aides
"Activités spécialisées, scientifiques et techniques",44446454.00,1002.00,84,#FFA726,"44,4 M€",1 002 aides
Construction,24427641.00,892.00,84,#42A5F5,"24,4 M€",892 aides
Activités financières et d'assurance,19348177.00,417.00,84,#9CCC65,"19,3 M€",417 aides
Information et communication,13299119.00,232.00,84,#66BB6A,"13,3 M€",232 aides
Hébergement et restauration,12974491.00,1017.00,84,#26A69A,"13,0 M€",1 017 aides
"Arts, spectacles et activités récréatives",12718882.00,163.00,84,#8E24AA,"12,7 M€",163 aides
Activités de services administratifs et de soutien,12448628.00,375.00,84,#FF7043,"12,4 M€",375 aides
Activités immobilières,12376012.00,725.00,84,#FFCA28,"12,4 M€",725 aides
Autres sections NAF,29321205.00,994.00,84,#AAAAAA,"29,3 M€",994 aides
