libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
Activités immobilières,916082.00,75.00,68,#FFCA28,"0,9 M€",75 aides
"Activités spécialisées, scientifiques et techniques",720633.00,67.00,68,#FFA726,"0,7 M€",67 aides
Activités de services administratifs et de soutien,541067.00,32.00,68,#FF7043,"0,5 M€",32 aides
Transports et entreposage,454016.00,19.00,68,#26C6DA,"0,5 M€",19 aides
Autres sections NAF,672263.00,99.00,68,#AAAAAA,"0,7 M€",99 aides
Commerce,9165792.00,332.00,38,#29B6F6,"9,2 M€",332 aides
"Activités spécialisées, scientifiques et techniques",6939045.00,175.00,38,#FFA726,"6,9 M€",175 aides
Industrie manufacturière,6705794.00,149.00,38,#AB47BC,"6,7 M€",149 aides
Construction,5190610.00,181.00,38,#42A5F5,"5,2 M€",181 aides
Information et communication,2316819.00,35.00,38,#66BB6A,"2,3 M€",35 aides
Activités financières et d'assurance,2176865.00,59.00,38,#9CCC65,"2,2 M€",59 aides
Activités de services administratifs et de soutien,2095118.00,70.00,38,#FF7043,"2,1 M€",70 aides
Hébergement et restauration,1769841.00,244.00,38,#26A69A,"1,8 M€",244 aides
"Arts, spectacles et activités récréatives",1322714.00,54.00,38,#8E24AA,"1,3 M€",54 aides
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",1242897.00,6.00,38,#7E57C2,"1,2 M€",6 aides
Autres sections NAF,3150604.00,282.00,38,#AAAAAA,"3,2 M€",282 aides
Commerce,14421475.00,412.00,31,#29B6F6,"14,4 M€",412 aides
Construction,13225959.00,195.00,31,#42A5F5,"13,2 M€",195 aides
Activités financières et d'assurance,10058055.00,78.00,31,#9CCC65,"10,1 M€",78 aides
Industrie manufacturière,6273337.00,110.00,31,#AB47BC,"6,3 M€",110 aides
"Activités spécialisées, scientifiques et techniques",5927601.00,206.00,31,#FFA726,"5,9 M€",206 aides
Activités de services administratifs et de soutien,5167687.00,103.00,31,#FF7043,"5,2 M€",103 aides
Activités immobilières,3497358.00,148.00,31,#FFCA28,"3,5 M€",148 aides
Transports et entreposage,3305512.00,89.00,31,#26C6DA,"3,3 M€",89 aides
Hébergement et restauration,1958115.00,267.00,31,#26A69A,"2,0 M€",267 aides
Santé humaine et action sociale,1847528.00,48.00,31,#E53935,"1,8 M€",48 aides
Autres sections NAF,3275837.00,285.00,31,#AAAAAA,"3,3 M€",285 aides
Commerce,6115441.00,254.00,73,#29B6F6,"6,1 M€",254 aides
Hébergement et restauration,5011255.00,315.00,73,#26A69A,"5,0 M€",315 aides
"Activités spécialisées, scientifiques et techniques",4489124.00,65.00,73,#FFA726,"4,5 M€",65 aides
Industrie manufacturière,3239906.00,58.00,73,#AB47BC,"3,2 M€",58 aides
Transports et entreposage,2913907.00,33.00,73,#26C6DA,"2,9 M€",33 aides
Activités de services administratifs et de soutien,1945157.00,49.00,73,#FF7043,"1,9 M€",49 aides
Construction,1825487.00,89.00,73,#42A5F5,"1,8 M€",89 aides
"Arts, spectacles et activités récréatives",837160.00,30.00,73,#8E24AA,"0,8 M€",30 aides
Information et communication,790777.00,24.00,73,#66BB6A,"0,8 M€",24 aides
Santé humaine et action sociale,753585.00,29.00,73,#E53935,"0,8 M€",29 aides
Autres sections NAF,1511267.00,164.00,73,#AAAAAA,"1,5 M€",164 aides
Industrie manufacturière,2216276.00,21.00,09,#AB47BC,"2,2 M€",21 aides
Commerce,412199.00,47.00,09,#29B6F6,"0,4 M€",47 aides
Hébergement et restauration,95332.00,30.00,09,#26A69A,"0,1 M€",30 aides
"Activités spécialisées, scientifiques et techniques",81807.00,13.00,09,#FFA726,"0,1 M€",13 aides
Activités financières et d'assurance,71417.00,6.00,09,#9CCC65,"0,1 M€",6 aides
Santé humaine et action sociale,44949.00,3.00,09,#E53935,"0,0 M€",3 aides
"Arts, spectacles et activités récréatives",41633.00,5.00,09,#8E24AA,"0,0 M€",5 aides
Construction,41446.00,11.00,09,#42A5F5,"0,0 M€",11 aides
Non connu,31529.00,6.00,09,#AAAAAA,"0,0 M€",6 aides
Activités de services administratifs et de soutien,24834.00,7.00,09,#FF7043,"0,0 M€",7 aides
Autres sections NAF,29683.00,8.00,09,#AAAAAA,"0,0 M€",8 aides
Commerce,17941283.00,320.00,67,#29B6F6,"17,9 M€",320 aides
Industrie manufacturière,11381959.00,109.00,67,#AB47BC,"11,4 M€",109 aides
Activités financières et d'assurance,3120617.00,65.00,67,#9CCC65,"3,1 M€",65 aides
Activités immobilières,2924354.00,123.00,67,#FFCA28,"2,9 M€",123 aides
Hébergement et restauration,2498513.00,197.00,67,#26A69A,"2,5 M€",197 aides
Construction,2263149.00,129.00,67,#42A5F5,"2,3 M€",129 aides
"Activités spécialisées, scientifiques et techniques",1990351.00,125.00,67,#FFA726,"2,0 M€",125 aides
Santé humaine et action sociale,1437303.00,72.00,67,#E53935,"1,4 M€",72 aides
Transports et entreposage,1074482.00,43.00,67,#26C6DA,"1,1 M€",43 aides
