libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
Commerce,368685416.00,2240.00,62,#29B6F6,"368,7 M€",2 240 aides
Industrie manufacturière,314046033.00,678.00,62,#AB47BC,"314,0 M€",678 aides
Construction,190465582.00,1459.00,62,#42A5F5,"190,5 M€",1 459 aides
Hébergement et restauration,112317457.00,1414.00,62,#26A69A,"112,3 M€",1 414 aides
Activités financières et d'assurance,107829089.00,115.00,62,#9CCC65,"107,8 M€",115 aides
Transports et entreposage,75938296.00,271.00,62,#26C6DA,"75,9 M€",271 aides
"Activités spécialisées, scientifiques et techniques",63652835.00,633.00,62,#FFA726,"63,7 M€",633 aides
Santé humaine et action sociale,49415478.00,833.00,62,#E53935,"49,4 M€",833 aides
Activités de services administratifs et de soutien,33417217.00,273.00,62,#FF7043,"33,4 M€",273 aides
"Arts, spectacles et activités récréatives",22446284.00,186.00,62,#8E24AA,"22,4 M€",186 aides
Autres sections NAF,84036132.00,1430.00,62,#AAAAAA,"84,0 M€",1 430 aides
Industrie manufacturière,55384773.00,149.00,36,#AB47BC,"55,4 M€",149 aides
Commerce,49163371.00,378.00,36,#29B6F6,"49,2 M€",378 aides
Construction,18578432.00,230.00,36,#42A5F5,"18,6 M€",230 aides
Activités financières et d'assurance,13917980.00,23.00,36,#9CCC65,"13,9 M€",23 aides
Hébergement et restauration,11225173.00,230.00,36,#26A69A,"11,2 M€",230 aides
Transports et entreposage,7569400.00,40.00,36,#26C6DA,"7,6 M€",40 aides
"Activités spécialisées, scientifiques et techniques",6530729.00,60.00,36,#FFA726,"6,5 M€",60 aides
Santé humaine et action sociale,4933651.00,99.00,36,#E53935,"4,9 M€",99 aides
Autres activités de services,4175524.00,117.00,36,#5E35B1,"4,2 M€",117 aides
Activités de services administratifs et de soutien,4158895.00,42.00,36,#FF7043,"4,2 M€",42 aides
Autres sections NAF,10671836.00,189.00,36,#AAAAAA,"10,7 M€",189 aides
Commerce,86720292.00,672.00,03,#29B6F6,"86,7 M€",672 aides
Industrie manufacturière,82053376.00,252.00,03,#AB47BC,"82,1 M€",252 aides
Construction,33487522.00,373.00,03,#42A5F5,"33,5 M€",373 aides
"Activités spécialisées, scientifiques et techniques",20666235.00,154.00,03,#FFA726,"20,7 M€",154 aides
Hébergement et restauration,20134606.00,390.00,03,#26A69A,"20,1 M€",390 aides
Activités financières et d'assurance,17450813.00,35.00,03,#9CCC65,"17,5 M€",35 aides
Santé humaine et action sociale,13971942.00,196.00,03,#E53935,"14,0 M€",196 aides
Information et communication,9753585.00,24.00,03,#66BB6A,"9,8 M€",24 aides
"Arts, spectacles et activités récréatives",7486169.00,57.00,03,#8E24AA,"7,5 M€",57 aides
Autres activités de services,5612490.00,192.00,03,#5E35B1,"5,6 M€",192 aides
Autres sections NAF,19501733.00,322.00,03,#AAAAAA,"19,5 M€",322 aides
Commerce,195851448.00,1228.00,60,#29B6F6,"195,9 M€",1 228 aides
Industrie manufacturière,167635992.00,415.00,60,#AB47BC,"167,6 M€",415 aides
Construction,116572917.00,895.00,60,#42A5F5,"116,6 M€",895 aides
Activités financières et d'assurance,102181956.00,73.00,60,#9CCC65,"102,2 M€",73 aides
Hébergement et restauration,43843630.00,619.00,60,#26A69A,"43,8 M€",619 aides
Transports et entreposage,42662222.00,318.00,60,#26C6DA,"42,7 M€",318 aides
"Activités spécialisées, scientifiques et techniques",41695201.00,419.00,60,#FFA726,"41,7 M€",419 aides
Santé humaine et action sociale,40489156.00,378.00,60,#E53935,"40,5 M€",378 aides
Activités de services administratifs et de soutien,36682203.00,213.00,60,#FF7043,"36,7 M€",213 aides
"Arts, spectacles et activités récréatives",14025812.00,153.00,60,#8E24AA,"14,0 M€",153 aides
Autres sections NAF,46032762.00,889.00,60,#AAAAAA,"46,0 M€",889 aides
Activités financières et d'assurance,285290571.00,95.00,51,#9CCC65,"285,3 M€",95 aides
Industrie manufacturière,264485335.00,430.00,51,#AB47BC,"264,5 M€",430 aides
Commerce,155594756.00,1074.00,51,#29B6F6,"155,6 M€",1 074 aides
Construction,79398884.00,633.00,51,#42A5F5,"79,4 M€",633 aides
"Agriculture, sylviculture et pêche",77683342.00,861.00,51,#EF5350,"77,7 M€",861 aides
Hébergement et restauration,68038765.00,645.00,51,#26A69A,"68,0 M€",645 aides
"Activités spécialisées, scientifiques et techniques",52625846.00,359.00,51,#FFA726,"52,6 M€",359 aides
Santé humaine et action sociale,17328311.00,306.00,51,#E53935,"17,3 M€",306 aides
Industries extractives,16969000.00,3.00,51,#EC407A,"17,0 M€",3 aides
Transports et entreposage,15820704.00,157.00,51,#26C6DA,"15,8 M€",157 aides
Autres sections NAF,63671500.00,763.00,51,#AAAAAA,"63,7 M€",763 aides
Industrie manufacturière,96691141.00,283.00,39,#AB47BC,"96,7 M€",283 aides
Commerce,83390426.00,641.00,39,#29B6F6,"83,4 M€",641 aides
Activités financières et d'assurance,40011741.00,39.00,39,#9CCC65,"40,0 M€",39 aides
Construction,37935785.00,326.00,39,#42A5F5,"37,9 M€",326 aides
Hébergement et restauration,24712750.00,369.00,39,#26A69A,"24,7 M€",369 aides
"Activités spécialisées, scientifiques et techniques",23588670.00,132.00,39,#FFA726,"23,6 M€",132 aides
"Agriculture, sylviculture et pêche",7874337.00,141.00,39,#EF5350,"7,9 M€",141 aides
Transports et entreposage,6076325.00,59.00,39,#26C6DA,"6,1 M€",59 aides
Santé humaine et action sociale,5443946.00,121.00,39,#E53935,"5,4 M€",121 aides
Activités de services administratifs et de soutien,3711661.00,57.00,39,#FF7043,"3,7 M€",57 aides
Autres sections NAF,14061656.00,304.00,39,#AAAAAA,"14,1 M€",304 aides
Commerce,167248075.00,1076.00,11,#29B6F6,"167,2 M€",1 076 aides
