libelle_section_naf,montant,nombre,nombre_siren,dep,color,montant_fr,nombre_fr,nombre_siren_fr
Commerce,28022540.83,14945,4584,84,#29B6F6,"28,0 M€",14 945 aides,4 584 entreprises
Hébergement et restauration,30760692.60,11443,2520,84,#26A69A,"30,8 M€",11 443 aides,2 520 entreprises
Autres activités de services,11351206.44,7218,2141,84,#5E35B1,"11,4 M€",7 218 aides,2 141 entreprises
Construction,10683344.00,7187,3101,84,#42A5F5,"10,7 M€",7 187 aides,3 101 entreprises
"Arts, spectacles et activités récréatives",8818983.17,5032,1059,84,#8E24AA,"8,8 M€",5 032 aides,1 059 entreprises
"Activités spécialisées, scientifiques et techniques",8661854.00,5020,1704,84,#FFA726,"8,7 M€",5 020 aides,1 704 entreprises
Santé humaine et action sociale,5157850.00,3988,1735,84,#E53935,"5,2 M€",3 988 aides,1 735 entreprises
Activités de services administratifs et de soutien,5374714.00,3186,1042,84,#FF7043,"5,4 M€",3 186 aides,1 042 entreprises
Industrie manufacturière,4472080.00,3119,1036,84,#AB47BC,"4,5 M€",3 119 aides,1 036 entreprises
Enseignement,4303430.00,3065,801,84,#00897B,"4,3 M€",3 065 aides,801 entreprises
Autres sections NAF,11468241.00,6521,2116,84,#AAAAAA,"11,5 M€",6 521 aides,2 116 entreprises
Hébergement et restauration,21737633.97,8368,2063,85,#26A69A,"21,7 M€",8 368 aides,2 063 entreprises
Commerce,16714065.00,8146,2806,85,#29B6F6,"16,7 M€",8 146 aides,2 806 entreprises
Autres activités de services,12140154.00,6671,2039,85,#5E35B1,"12,1 M€",6 671 aides,2 039 entreprises
"Activités spécialisées, scientifiques et techniques",7188656.00,3780,1345,85,#FFA726,"7,2 M€",3 780 aides,1 345 entreprises
Construction,5562062.00,3743,1965,85,#42A5F5,"5,6 M€",3 743 aides,1 965 entreprises
Santé humaine et action sociale,4620311.00,3529,1615,85,#E53935,"4,6 M€",3 529 aides,1 615 entreprises
"Arts, spectacles et activités récréatives",5931920.62,3326,755,85,#8E24AA,"5,9 M€",3 326 aides,755 entreprises
