libelle_section_naf,montant,nombre,nombre_siren,dep,color,montant_fr,nombre_fr,nombre_siren_fr
Commerce,13948975.00,6987,2458,01,#29B6F6,"13,9 M€",6 987 aides,2 458 entreprises
Hébergement et restauration,17423470.14,6603,1527,01,#26A69A,"17,4 M€",6 603 aides,1 527 entreprises
Autres activités de services,9972320.87,5821,1752,01,#5E35B1,"10,0 M€",5 821 aides,1 752 entreprises
Construction,7634084.00,5036,2283,01,#42A5F5,"7,6 M€",5 036 aides,2 283 entreprises
"Activités spécialisées, scientifiques et techniques",5575275.22,3218,1144,01,#FFA726,"5,6 M€",3 218 aides,1 144 entreprises
"Arts, spectacles et activités récréatives",5134860.00,2961,681,01,#8E24AA,"5,1 M€",2 961 aides,681 entreprises
Santé humaine et action sociale,3821985.00,2939,1345,01,#E53935,"3,8 M€",2 939 aides,1 345 entreprises
Enseignement,3898045.00,2609,750,01,#00897B,"3,9 M€",2 609 aides,750 entreprises
Activités de services administratifs et de soutien,3143555.00,1883,654,01,#FF7043,"3,1 M€",1 883 aides,654 entreprises
Industrie manufacturière,2737969.00,1779,707,01,#AB47BC,"2,7 M€",1 779 aides,707 entreprises
Autres sections NAF,7136410.00,4307,1430,01,#AAAAAA,"7,1 M€",4 307 aides,1 430 entreprises
Commerce,8909574.00,4561,1568,02,#29B6F6,"8,9 M€",4 561 aides,1 568 entreprises
Hébergement et restauration,10393318.19,4083,965,02,#26A69A,"10,4 M€",4 083 aides,965 entreprises
Autres activités de services,6074015.00,3791,1133,02,#5E35B1,"6,1 M€",3 791 aides,1 133 entreprises
Construction,4272711.00,2834,1284,02,#42A5F5,"4,3 M€",2 834 aides,1 284 entreprises
"Arts, spectacles et activités récréatives",3783163.40,2155,425,02,#8E24AA,"3,8 M€",2 155 aides,425 entreprises
"Activités spécialisées, scientifiques et techniques",2202377.00,1371,490,02,#FFA726,"2,2 M€",1 371 aides,490 entreprises
Santé humaine et action sociale,1622111.00,1199,564,02,#E53935,"1,6 M€",1 199 aides,564 entreprises
Enseignement,1821463.00,1112,308,02,#00897B,"1,8 M€",1 112 aides,308 entreprises
Transports et entreposage,1893707.00,1099,292,02,#26C6DA,"1,9 M€",1 099 aides,292 entreprises
Industrie manufacturière,1422425.64,956,363,02,#AB47BC,"1,4 M€",956 aides,363 entreprises
Autres sections NAF,6492896.00,2731,1122,02,#AAAAAA,"6,5 M€",2 731 aides,1 122 entreprises
Commerce,9761216.00,5106,1639,03,#29B6F6,"9,8 M€",5 106 aides,1 639 entreprises
Hébergement et restauration,10390566.07,4409,986,03,#26A69A,"10,4 M€",4 409 aides,986 entreprises
Autres activités de services,5298875.00,3126,927,03,#5E35B1,"5,3 M€",3 126 aides,927 entreprises
Construction,3214445.00,2151,1017,03,#42A5F5,"3,2 M€",2 151 aides,1 017 entreprises
"Agriculture, sylviculture et pêche",2104578.00,1466,753,03,#EF5350,"2,1 M€",1 466 aides,753 entreprises
"Arts, spectacles et activités récréatives",2396506.02,1423,309,03,#8E24AA,"2,4 M€",1 423 aides,309 entreprises
Santé humaine et action sociale,1886616.00,1421,629,03,#E53935,"1,9 M€",1 421 aides,629 entreprises
"Activités spécialisées, scientifiques et techniques",2124972.00,1256,464,03,#FFA726,"2,1 M€",1 256 aides,464 entreprises
Enseignement,1589835.00,1082,276,03,#00897B,"1,6 M€",1 082 aides,276 entreprises
Industrie manufacturière,1346453.00,988,355,03,#AB47BC,"1,3 M€",988 aides,355 entreprises
Autres sections NAF,3549837.00,2242,751,03,#AAAAAA,"3,5 M€",2 242 aides,751 entreprises
Hébergement et restauration,11425136.00,4561,1076,04,#26A69A,"11,4 M€",4 561 aides,1 076 entreprises
Commerce,6637225.00,3332,1091,04,#29B6F6,"6,6 M€",3 332 aides,1 091 entreprises
Autres activités de services,3024023.00,1961,590,04,#5E35B1,"3,0 M€",1 961 aides,590 entreprises
Construction,2743636.00,1904,883,04,#42A5F5,"2,7 M€",1 904 aides,883 entreprises
Enseignement,2250903.00,1547,437,04,#00897B,"2,3 M€",1 547 aides,437 entreprises
"Arts, spectacles et activités récréatives",2060864.87,1309,292,04,#8E24AA,"2,1 M€",1 309 aides,292 entreprises
"Activités spécialisées, scientifiques et techniques",2062264.00,1147,391,04,#FFA726,"2,1 M€",1 147 aides,391 entreprises
Santé humaine et action sociale,1509467.00,1105,500,04,#E53935,"1,5 M€",1 105 aides,500 entreprises
Industrie manufacturière,1566634.00,1090,372,04,#AB47BC,"1,6 M€",1 090 aides,372 entreprises
Activités de services administratifs et de soutien,1042389.00,652,220,04,#FF7043,"1,0 M€",652 aides,220 entreprises
Autres sections NAF,2990756.00,1819,625,04,#AAAAAA,"3,0 M€",1 819 aides,625 entreprises
Enseignement,8461278.00,5593,1495,05,#00897B,"8,5 M€",5 593 aides,1 495 entreprises
Hébergement et restauration,14759485.99,5008,1175,05,#26A69A,"14,8 M€",5 008 aides,1 175 entreprises
Commerce,7038154.00,2994,947,05,#29B6F6,"7,0 M€",2 994 aides,947 entreprises
"Arts, spectacles et activités récréatives",3697766.00,2273,521,05,#8E24AA,"3,7 M€",2 273 aides,521 entreprises
Autres activités de services,2684280.00,1606,495,05,#5E35B1,"2,7 M€",1 606 aides,495 entreprises
Construction,2365069.00,1575,717,05,#42A5F5,"2,4 M€",1 575 aides,717 entreprises
"Activités spécialisées, scientifiques et techniques",3106662.00,1482,480,05,#FFA726,"3,1 M€",1 482 aides,480 entreprises
Santé humaine et action sociale,1927450.00,1413,635,05,#E53935,"1,9 M€",1 413 aides,635 entreprises
Industrie manufacturière,1417050.00,1012,363,05,#AB47BC,"1,4 M€",1 012 aides,363 entreprises
Activités de services administratifs et de soutien,1691230.00,818,248,05,#FF7043,"1,7 M€",818 aides,248 entreprises
Autres sections NAF,3503255.00,2004,685,05,#AAAAAA,"3,5 M€",2 004 aides,685 entreprises
Commerce,52995295.00,26883,8144,06,#29B6F6,"53,0 M€",26 883 aides,8 144 entreprises
Hébergement et restauration,71571854.97,24586,5329,06,#26A69A,"71,6 M€",24 586 aides,5 329 entreprises
Transports et entreposage,38296593.11,19770,3373,06,#26C6DA,"38,3 M€",19 770 aides,3 373 entreprises
Autres activités de services,27666140.52,16509,4785,06,#5E35B1,"27,7 M€",16 509 aides,4 785 entreprises
"Activités spécialisées, scientifiques et techniques",27470367.50,16095,5172,06,#FFA726,"27,5 M€",16 095 aides,5 172 entreprises
Construction,23620933.00,15303,6103,06,#42A5F5,"23,6 M€",15 303 aides,6 103 entreprises
Activités de services administratifs et de soutien,19588307.00,10784,3051,06,#FF7043,"19,6 M€",10 784 aides,3 051 entreprises
"Arts, spectacles et activités récréatives",17532352.78,9800,2020,06,#8E24AA,"17,5 M€",9 800 aides,2 020 entreprises
Activités immobilières,17234299.28,9405,2906,06,#FFCA28,"17,2 M€",9 405 aides,2 906 entreprises
Enseignement,13331958.00,9251,2301,06,#00897B,"13,3 M€",9 251 aides,2 301 entreprises
Autres sections NAF,30413269.34,20466,7709,06,#AAAAAA,"30,4 M€",20 466 aides,7 709 entreprises
Hébergement et restauration,17012942.21,7059,1680,07,#26A69A,"17,0 M€",7 059 aides,1 680 entreprises
Commerce,9524820.00,5245,1701,07,#29B6F6,"9,5 M€",5 245 aides,1 701 entreprises
Autres activités de services,5590352.00,3635,1074,07,#5E35B1,"5,6 M€",3 635 aides,1 074 entreprises
Construction,4559271.00,3077,1446,07,#42A5F5,"4,6 M€",3 077 aides,1 446 entreprises
"Arts, spectacles et activités récréatives",3790217.19,2400,520,07,#8E24AA,"3,8 M€",2 400 aides,520 entreprises
Industrie manufacturière,2612764.00,2060,684,07,#AB47BC,"2,6 M€",2 060 aides,684 entreprises
Santé humaine et action sociale,2389635.00,1899,813,07,#E53935,"2,4 M€",1 899 aides,813 entreprises
"Activités spécialisées, scientifiques et techniques",2993380.00,1887,611,07,#FFA726,"3,0 M€",1 887 aides,611 entreprises
Enseignement,2213791.00,1528,408,07,#00897B,"2,2 M€",1 528 aides,408 entreprises
Activités de services administratifs et de soutien,1796067.00,1185,394,07,#FF7043,"1,8 M€",1 185 aides,394 entreprises
Autres sections NAF,4078635.00,2628,970,07,#AAAAAA,"4,1 M€",2 628 aides,970 entreprises
Hébergement et restauration,7447783.69,3033,669,08,#26A69A,"7,4 M€",3 033 aides,669 entreprises
Commerce,5172790.00,2735,959,08,#29B6F6,"5,2 M€",2 735 aides,959 entreprises
Autres activités de services,3562546.00,2326,680,08,#5E35B1,"3,6 M€",2 326 aides,680 entreprises
Construction,2576851.00,1747,787,08,#42A5F5,"2,6 M€",1 747 aides,787 entreprises
"Arts, spectacles et activités récréatives",1279726.00,900,195,08,#8E24AA,"1,3 M€",900 aides,195 entreprises
Santé humaine et action sociale,1135284.00,822,387,08,#E53935,"1,1 M€",822 aides,387 entreprises
"Activités spécialisées, scientifiques et techniques",1397358.00,774,289,08,#FFA726,"1,4 M€",774 aides,289 entreprises
Industrie manufacturière,1098998.00,703,267,08,#AB47BC,"1,1 M€",703 aides,267 entreprises
Enseignement,897573.00,540,144,08,#00897B,"0,9 M€",540 aides,144 entreprises
Activités de services administratifs et de soutien,706567.00,446,149,08,#FF7043,"0,7 M€",446 aides,149 entreprises
Autres sections NAF,1902908.00,1191,494,08,#AAAAAA,"1,9 M€",1 191 aides,494 entreprises
Hébergement et restauration,6418924.00,2823,648,09,#26A69A,"6,4 M€",2 823 aides,648 entreprises
Commerce,4378278.00,2464,783,09,#29B6F6,"4,4 M€",2 464 aides,783 entreprises
Autres activités de services,2499949.00,1646,514,09,#5E35B1,"2,5 M€",1 646 aides,514 entreprises
Construction,2372503.00,1634,731,09,#42A5F5,"2,4 M€",1 634 aides,731 entreprises
"Arts, spectacles et activités récréatives",1841815.00,1197,251,09,#8E24AA,"1,8 M€",1 197 aides,251 entreprises
Industrie manufacturière,1164209.00,953,342,09,#AB47BC,"1,2 M€",953 aides,342 entreprises
Enseignement,1193567.00,929,270,09,#00897B,"1,2 M€",929 aides,270 entreprises
"Activités spécialisées, scientifiques et techniques",1547834.00,921,326,09,#FFA726,"1,5 M€",921 aides,326 entreprises
Santé humaine et action sociale,990952.00,794,381,09,#E53935,"1,0 M€",794 aides,381 entreprises
"Agriculture, sylviculture et pêche",904708.00,681,280,09,#EF5350,"0,9 M€",681 aides,280 entreprises
Autres sections NAF,2237684.00,1470,494,09,#AAAAAA,"2,2 M€",1 470 aides,494 entreprises
Commerce,6239168.00,3197,1102,10,#29B6F6,"6,2 M€",3 197 aides,1 102 entreprises
Hébergement et restauration,8272724.30,3186,725,10,#26A69A,"8,3 M€",3 186 aides,725 entreprises
Autres activités de services,4636458.00,2740,817,10,#5E35B1,"4,6 M€",2 740 aides,817 entreprises
"Agriculture, sylviculture et pêche",9511308.00,1966,1310,10,#EF5350,"9,5 M€",1 966 aides,1 310 entreprises
Construction,2825269.00,1853,840,10,#42A5F5,"2,8 M€",1 853 aides,840 entreprises
"Arts, spectacles et activités récréatives",2499827.08,1372,274,10,#8E24AA,"2,5 M€",1 372 aides,274 entreprises
"Activités spécialisées, scientifiques et techniques",2224720.00,1253,440,10,#FFA726,"2,2 M€",1 253 aides,440 entreprises
Santé humaine et action sociale,1447302.00,1144,498,10,#E53935,"1,4 M€",1 144 aides,498 entreprises
Industrie manufacturière,1412760.00,812,319,10,#AB47BC,"1,4 M€",812 aides,319 entreprises
Enseignement,1267097.00,756,196,10,#00897B,"1,3 M€",756 aides,196 entreprises
Autres sections NAF,3795797.00,2284,723,10,#AAAAAA,"3,8 M€",2 284 aides,723 entreprises
Hébergement et restauration,18212740.58,7681,1698,11,#26A69A,"18,2 M€",7 681 aides,1 698 entreprises
Commerce,13663760.82,7307,2327,11,#29B6F6,"13,7 M€",7 307 aides,2 327 entreprises
Autres activités de services,6049264.00,4169,1251,11,#5E35B1,"6,0 M€",4 169 aides,1 251 entreprises
Construction,6139645.00,4128,1800,11,#42A5F5,"6,1 M€",4 128 aides,1 800 entreprises
"Activités spécialisées, scientifiques et techniques",4908312.00,2667,889,11,#FFA726,"4,9 M€",2 667 aides,889 entreprises
"Arts, spectacles et activités récréatives",3463182.47,2129,473,11,#8E24AA,"3,5 M€",2 129 aides,473 entreprises
Santé humaine et action sociale,2625344.00,2083,944,11,#E53935,"2,6 M€",2 083 aides,944 entreprises
"Agriculture, sylviculture et pêche",2798772.00,1654,585,11,#EF5350,"2,8 M€",1 654 aides,585 entreprises
Activités de services administratifs et de soutien,2546803.00,1597,498,11,#FF7043,"2,5 M€",1 597 aides,498 entreprises
Enseignement,2003594.00,1514,420,11,#00897B,"2,0 M€",1 514 aides,420 entreprises
Autres sections NAF,6266665.00,4117,1401,11,#AAAAAA,"6,3 M€",4 117 aides,1 401 entreprises
Hébergement et restauration,13132698.37,5227,1172,12,#26A69A,"13,1 M€",5 227 aides,1 172 entreprises
Commerce,8462036.49,4025,1339,12,#29B6F6,"8,5 M€",4 025 aides,1 339 entreprises
Construction,4174948.00,2868,1337,12,#42A5F5,"4,2 M€",2 868 aides,1 337 entreprises
Autres activités de services,4577040.00,2846,838,12,#5E35B1,"4,6 M€",2 846 aides,838 entreprises
"Arts, spectacles et activités récréatives",2842659.00,1837,397,12,#8E24AA,"2,8 M€",1 837 aides,397 entreprises
"Activités spécialisées, scientifiques et techniques",3214786.54,1725,593,12,#FFA726,"3,2 M€",1 725 aides,593 entreprises
Santé humaine et action sociale,1897654.00,1440,699,12,#E53935,"1,9 M€",1 440 aides,699 entreprises
Enseignement,1932939.00,1325,356,12,#00897B,"1,9 M€",1 325 aides,356 entreprises
Industrie manufacturière,1847896.00,1315,500,12,#AB47BC,"1,8 M€",1 315 aides,500 entreprises
"Agriculture, sylviculture et pêche",1811137.00,1256,540,12,#EF5350,"1,8 M€",1 256 aides,540 entreprises
Autres sections NAF,3988271.29,2436,889,12,#AAAAAA,"4,0 M€",2 436 aides,889 entreprises
Commerce,81727668.41,40523,12500,13,#29B6F6,"81,7 M€",40 523 aides,12 500 entreprises
Hébergement et restauration,95269175.91,34033,6971,13,#26A69A,"95,3 M€",34 033 aides,6 971 entreprises
"Activités spécialisées, scientifiques et techniques",42888882.31,24875,8210,13,#FFA726,"42,9 M€",24 875 aides,8 210 entreprises
Autres activités de services,38097791.45,22396,6566,13,#5E35B1,"38,1 M€",22 396 aides,6 566 entreprises
Construction,30536669.00,19612,7961,13,#42A5F5,"30,5 M€",19 612 aides,7 961 entreprises
Transports et entreposage,32395480.70,16544,3587,13,#26C6DA,"32,4 M€",16 544 aides,3 587 entreprises
"Arts, spectacles et activités récréatives",28969314.82,15695,3362,13,#8E24AA,"29,0 M€",15 695 aides,3 362 entreprises
Santé humaine et action sociale,20484418.00,15247,6849,13,#E53935,"20,5 M€",15 247 aides,6 849 entreprises
Enseignement,15752775.19,10978,2901,13,#00897B,"15,8 M€",10 978 aides,2 901 entreprises
Activités de services administratifs et de soutien,20232021.71,10722,3059,13,#FF7043,"20,2 M€",10 722 aides,3 059 entreprises
Autres sections NAF,40743457.28,23856,7733,13,#AAAAAA,"40,7 M€",23 856 aides,7 733 entreprises
Commerce,19858564.00,9987,3289,14,#29B6F6,"19,9 M€",9 987 aides,3 289 entreprises
Hébergement et restauration,27260505.43,9543,2325,14,#26A69A,"27,3 M€",9 543 aides,2 325 entreprises
Autres activités de services,11676731.00,6774,2029,14,#5E35B1,"11,7 M€",6 774 aides,2 029 entreprises
"Activités spécialisées, scientifiques et techniques",8926261.23,4593,1547,14,#FFA726,"8,9 M€",4 593 aides,1 547 entreprises
Construction,6654762.00,4473,2128,14,#42A5F5,"6,7 M€",4 473 aides,2 128 entreprises
"Arts, spectacles et activités récréatives",7710060.62,4125,938,14,#8E24AA,"7,7 M€",4 125 aides,938 entreprises
Santé humaine et action sociale,3852293.00,2947,1357,14,#E53935,"3,9 M€",2 947 aides,1 357 entreprises
Enseignement,3758292.00,2482,682,14,#00897B,"3,8 M€",2 482 aides,682 entreprises
Activités de services administratifs et de soutien,3916527.00,2284,690,14,#FF7043,"3,9 M€",2 284 aides,690 entreprises
Industrie manufacturière,2817296.00,1831,687,14,#AB47BC,"2,8 M€",1 831 aides,687 entreprises
Autres sections NAF,9786975.01,5620,1859,14,#AAAAAA,"9,8 M€",5 620 aides,1 859 entreprises
"Agriculture, sylviculture et pêche",4203505.00,2907,1391,15,#EF5350,"4,2 M€",2 907 aides,1 391 entreprises
Hébergement et restauration,6858210.84,2785,662,15,#26A69A,"6,9 M€",2 785 aides,662 entreprises
Commerce,3776898.00,1712,614,15,#29B6F6,"3,8 M€",1 712 aides,614 entreprises
Autres activités de services,2370715.00,1398,408,15,#5E35B1,"2,4 M€",1 398 aides,408 entreprises
Construction,1644640.00,1109,544,15,#42A5F5,"1,6 M€",1 109 aides,544 entreprises
"Arts, spectacles et activités récréatives",990741.00,605,135,15,#8E24AA,"1,0 M€",605 aides,135 entreprises
"Activités spécialisées, scientifiques et techniques",1005059.00,524,196,15,#FFA726,"1,0 M€",524 aides,196 entreprises
Industrie manufacturière,696904.00,510,192,15,#AB47BC,"0,7 M€",510 aides,192 entreprises
Enseignement,730170.00,508,141,15,#00897B,"0,7 M€",508 aides,141 entreprises
Santé humaine et action sociale,713728.00,505,239,15,#E53935,"0,7 M€",505 aides,239 entreprises
Autres sections NAF,1450059.00,882,326,15,#AAAAAA,"1,5 M€",882 aides,326 entreprises
Commerce,8225879.00,4404,1492,16,#29B6F6,"8,2 M€",4 404 aides,1 492 entreprises
Hébergement et restauration,8797170.00,3782,877,16,#26A69A,"8,8 M€",3 782 aides,877 entreprises
Autres activités de services,5752049.00,3424,1056,16,#5E35B1,"5,8 M€",3 424 aides,1 056 entreprises
Construction,3750594.00,2583,1236,16,#42A5F5,"3,8 M€",2 583 aides,1 236 entreprises
"Arts, spectacles et activités récréatives",2743699.00,1845,414,16,#8E24AA,"2,7 M€",1 845 aides,414 entreprises
"Activités spécialisées, scientifiques et techniques",2615695.00,1533,561,16,#FFA726,"2,6 M€",1 533 aides,561 entreprises
Enseignement,1759413.00,1294,350,16,#00897B,"1,8 M€",1 294 aides,350 entreprises
Santé humaine et action sociale,1593885.00,1243,577,16,#E53935,"1,6 M€",1 243 aides,577 entreprises
Industrie manufacturière,1522941.00,1146,434,16,#AB47BC,"1,5 M€",1 146 aides,434 entreprises
Activités de services administratifs et de soutien,1470762.00,968,346,16,#FF7043,"1,5 M€",968 aides,346 entreprises
Autres sections NAF,2704455.12,1781,642,16,#AAAAAA,"2,7 M€",1 781 aides,642 entreprises
Commerce,23056275.00,11530,3955,17,#29B6F6,"23,1 M€",11 530 aides,3 955 entreprises
Hébergement et restauration,24951353.92,9525,2447,17,#26A69A,"25,0 M€",9 525 aides,2 447 entreprises
Autres activités de services,11663757.00,7197,2208,17,#5E35B1,"11,7 M€",7 197 aides,2 208 entreprises
Construction,8106819.00,5514,2636,17,#42A5F5,"8,1 M€",5 514 aides,2 636 entreprises
"Activités spécialisées, scientifiques et techniques",8413814.00,4680,1661,17,#FFA726,"8,4 M€",4 680 aides,1 661 entreprises
Santé humaine et action sociale,5549497.00,4230,1917,17,#E53935,"5,5 M€",4 230 aides,1 917 entreprises
"Arts, spectacles et activités récréatives",7027874.84,4222,966,17,#8E24AA,"7,0 M€",4 222 aides,966 entreprises
Enseignement,4432836.00,3091,827,17,#00897B,"4,4 M€",3 091 aides,827 entreprises
Industrie manufacturière,4227092.00,2970,1095,17,#AB47BC,"4,2 M€",2 970 aides,1 095 entreprises
Activités immobilières,4146523.00,2555,914,17,#FFCA28,"4,1 M€",2 555 aides,914 entreprises
Autres sections NAF,11408878.00,7145,2517,17,#AAAAAA,"11,4 M€",7 145 aides,2 517 entreprises
Hébergement et restauration,7777023.90,3267,752,18,#26A69A,"7,8 M€",3 267 aides,752 entreprises
Commerce,6158972.00,3173,1107,18,#29B6F6,"6,2 M€",3 173 aides,1 107 entreprises
Autres activités de services,4102818.00,2407,743,18,#5E35B1,"4,1 M€",2 407 aides,743 entreprises
Construction,2541320.26,1728,823,18,#42A5F5,"2,5 M€",1 728 aides,823 entreprises
"Arts, spectacles et activités récréatives",2064794.43,1226,276,18,#8E24AA,"2,1 M€",1 226 aides,276 entreprises
"Activités spécialisées, scientifiques et techniques",1999138.00,1030,333,18,#FFA726,"2,0 M€",1 030 aides,333 entreprises
Industrie manufacturière,1270754.00,863,316,18,#AB47BC,"1,3 M€",863 aides,316 entreprises
Santé humaine et action sociale,1134562.00,858,398,18,#E53935,"1,1 M€",858 aides,398 entreprises
Enseignement,1249387.00,770,210,18,#00897B,"1,2 M€",770 aides,210 entreprises
"Agriculture, sylviculture et pêche",1109301.00,622,277,18,#EF5350,"1,1 M€",622 aides,277 entreprises
Autres sections NAF,3048491.00,1786,598,18,#AAAAAA,"3,0 M€",1 786 aides,598 entreprises
Hébergement et restauration,8430472.66,3317,800,19,#26A69A,"8,4 M€",3 317 aides,800 entreprises
Commerce,6452121.00,2993,1040,19,#29B6F6,"6,5 M€",2 993 aides,1 040 entreprises
Autres activités de services,3878115.00,2370,716,19,#5E35B1,"3,9 M€",2 370 aides,716 entreprises
Construction,2275236.00,1581,797,19,#42A5F5,"2,3 M€",1 581 aides,797 entreprises
"Activités spécialisées, scientifiques et techniques",1736876.00,1094,391,19,#FFA726,"1,7 M€",1 094 aides,391 entreprises
"Agriculture, sylviculture et pêche",1583938.00,1092,540,19,#EF5350,"1,6 M€",1 092 aides,540 entreprises
"Arts, spectacles et activités récréatives",1769335.00,1059,236,19,#8E24AA,"1,8 M€",1 059 aides,236 entreprises
Santé humaine et action sociale,1318043.00,986,450,19,#E53935,"1,3 M€",986 aides,450 entreprises
Industrie manufacturière,1189088.00,834,313,19,#AB47BC,"1,2 M€",834 aides,313 entreprises
Enseignement,1030144.00,719,201,19,#00897B,"1,0 M€",719 aides,201 entreprises
Autres sections NAF,2320359.00,1494,547,19,#AAAAAA,"2,3 M€",1 494 aides,547 entreprises
Commerce,14480319.00,7423,2458,21,#29B6F6,"14,5 M€",7 423 aides,2 458 entreprises
Hébergement et restauration,18723881.11,6634,1533,21,#26A69A,"18,7 M€",6 634 aides,1 533 entreprises
Autres activités de services,8125240.00,4594,1349,21,#5E35B1,"8,1 M€",4 594 aides,1 349 entreprises
Construction,5129780.00,3454,1556,21,#42A5F5,"5,1 M€",3 454 aides,1 556 entreprises
"Activités spécialisées, scientifiques et techniques",5993140.00,3355,1146,21,#FFA726,"6,0 M€",3 355 aides,1 146 entreprises
"Arts, spectacles et activités récréatives",4629977.05,2798,615,21,#8E24AA,"4,6 M€",2 798 aides,615 entreprises
Santé humaine et action sociale,3676852.00,2773,1264,21,#E53935,"3,7 M€",2 773 aides,1 264 entreprises
Enseignement,3012646.00,2041,551,21,#00897B,"3,0 M€",2 041 aides,551 entreprises
Activités de services administratifs et de soutien,2839154.00,1714,512,21,#FF7043,"2,8 M€",1 714 aides,512 entreprises
Transports et entreposage,2727462.00,1590,465,21,#26C6DA,"2,7 M€",1 590 aides,465 entreprises
Autres sections NAF,6849796.69,4259,1576,21,#AAAAAA,"6,8 M€",4 259 aides,1 576 entreprises
Hébergement et restauration,23029147.94,8949,2132,22,#26A69A,"23,0 M€",8 949 aides,2 132 entreprises
Commerce,15176636.00,7329,2480,22,#29B6F6,"15,2 M€",7 329 aides,2 480 entreprises
Autres activités de services,8636676.00,4854,1481,22,#5E35B1,"8,6 M€",4 854 aides,1 481 entreprises
Construction,4995870.00,3370,1722,22,#42A5F5,"5,0 M€",3 370 aides,1 722 entreprises
"Arts, spectacles et activités récréatives",4401394.19,2710,622,22,#8E24AA,"4,4 M€",2 710 aides,622 entreprises
"Activités spécialisées, scientifiques et techniques",4627730.68,2617,941,22,#FFA726,"4,6 M€",2 617 aides,941 entreprises
Santé humaine et action sociale,3416746.00,2587,1233,22,#E53935,"3,4 M€",2 587 aides,1 233 entreprises
Industrie manufacturière,2835385.00,1980,705,22,#AB47BC,"2,8 M€",1 980 aides,705 entreprises
Enseignement,2369496.00,1497,410,22,#00897B,"2,4 M€",1 497 aides,410 entreprises
Activités de services administratifs et de soutien,1914634.00,1244,474,22,#FF7043,"1,9 M€",1 244 aides,474 entreprises
Autres sections NAF,4692451.00,3035,1154,22,#AAAAAA,"4,7 M€",3 035 aides,1 154 entreprises
Hébergement et restauration,3202893.63,1473,326,23,#26A69A,"3,2 M€",1 473 aides,326 entreprises
Commerce,2046493.00,1152,383,23,#29B6F6,"2,0 M€",1 152 aides,383 entreprises
Autres activités de services,1474405.00,932,284,23,#5E35B1,"1,5 M€",932 aides,284 entreprises
Construction,1215459.00,855,401,23,#42A5F5,"1,2 M€",855 aides,401 entreprises
"Arts, spectacles et activités récréatives",842769.96,606,141,23,#8E24AA,"0,8 M€",606 aides,141 entreprises
Industrie manufacturière,628662.00,509,160,23,#AB47BC,"0,6 M€",509 aides,160 entreprises
"Agriculture, sylviculture et pêche",712010.00,496,238,23,#EF5350,"0,7 M€",496 aides,238 entreprises
Enseignement,466796.00,367,93,23,#00897B,"0,5 M€",367 aides,93 entreprises
"Activités spécialisées, scientifiques et techniques",550302.00,350,129,23,#FFA726,"0,6 M€",350 aides,129 entreprises
Santé humaine et action sociale,416174.00,317,141,23,#E53935,"0,4 M€",317 aides,141 entreprises
Autres sections NAF,1129777.00,732,266,23,#AAAAAA,"1,1 M€",732 aides,266 entreprises
Hébergement et restauration,20442690.16,8954,2073,24,#26A69A,"20,4 M€",8 954 aides,2 073 entreprises
Commerce,13055496.30,7087,2340,24,#29B6F6,"13,1 M€",7 087 aides,2 340 entreprises
Autres activités de services,7309484.00,4700,1430,24,#5E35B1,"7,3 M€",4 700 aides,1 430 entreprises
Construction,5837975.00,4075,1915,24,#42A5F5,"5,8 M€",4 075 aides,1 915 entreprises
"Arts, spectacles et activités récréatives",3937018.98,2544,596,24,#8E24AA,"3,9 M€",2 544 aides,596 entreprises
"Activités spécialisées, scientifiques et techniques",4185383.00,2363,812,24,#FFA726,"4,2 M€",2 363 aides,812 entreprises
Industrie manufacturière,2963858.00,2122,758,24,#AB47BC,"3,0 M€",2 122 aides,758 entreprises
Santé humaine et action sociale,2606580.00,2038,921,24,#E53935,"2,6 M€",2 038 aides,921 entreprises
Activités de services administratifs et de soutien,2818081.00,1883,649,24,#FF7043,"2,8 M€",1 883 aides,649 entreprises
Enseignement,2132914.00,1652,444,24,#00897B,"2,1 M€",1 652 aides,444 entreprises
Autres sections NAF,6377304.00,4023,1441,24,#AAAAAA,"6,4 M€",4 023 aides,1 441 entreprises
Commerce,12581404.00,6158,2087,25,#29B6F6,"12,6 M€",6 158 aides,2 087 entreprises
Hébergement et restauration,14319569.76,5525,1260,25,#26A69A,"14,3 M€",5 525 aides,1 260 entreprises
Autres activités de services,7894454.00,4493,1328,25,#5E35B1,"7,9 M€",4 493 aides,1 328 entreprises
Construction,3921076.00,2584,1238,25,#42A5F5,"3,9 M€",2 584 aides,1 238 entreprises
"Arts, spectacles et activités récréatives",4673310.75,2576,567,25,#8E24AA,"4,7 M€",2 576 aides,567 entreprises
Santé humaine et action sociale,3376721.00,2497,1138,25,#E53935,"3,4 M€",2 497 aides,1 138 entreprises
"Activités spécialisées, scientifiques et techniques",4300676.00,2495,871,25,#FFA726,"4,3 M€",2 495 aides,871 entreprises
Enseignement,3008323.00,2070,551,25,#00897B,"3,0 M€",2 070 aides,551 entreprises
Industrie manufacturière,2187682.77,1385,531,25,#AB47BC,"2,2 M€",1 385 aides,531 entreprises
Activités de services administratifs et de soutien,1591393.00,972,345,25,#FF7043,"1,6 M€",972 aides,345 entreprises
Autres sections NAF,4577819.00,2844,1044,25,#AAAAAA,"4,6 M€",2 844 aides,1 044 entreprises
Commerce,17699272.00,9079,2883,26,#29B6F6,"17,7 M€",9 079 aides,2 883 entreprises
