libelle_section_naf,montant,nombre,nombre_siren,reg,color,montant_fr,nombre_fr,nombre_siren_fr
"Activités spécialisées, scientifiques et techniques",245794730.62,79823,17215,75,#FFA726,"245,8 M€",79 823 aides,17 215 entreprises
"Arts, spectacles et activités récréatives",238611663.11,72142,9131,75,#8E24AA,"238,6 M€",72 142 aides,9 131 entreprises
Construction,99881309.00,62567,23921,75,#42A5F5,"99,9 M€",62 567 aides,23 921 entreprises
Enseignement,82568593.00,47570,7784,75,#00897B,"82,6 M€",47 570 aides,7 784 entreprises
Santé humaine et action sociale,57886860.00,43295,17115,75,#E53935,"57,9 M€",43 295 aides,17 115 entreprises
Activités de services administratifs et de soutien,124744949.00,39036,8167,75,#FF7043,"124,7 M€",39 036 aides,8 167 entreprises
"Agriculture, sylviculture et pêche",148695272.00,37192,9217,75,#EF5350,"148,7 M€",37 192 aides,9 217 entreprises
Autres sections NAF,272113678.99,113225,24852,75,#AAAAAA,"272,1 M€",113 225 aides,24 852 entreprises
Hébergement et restauration,1240477311.63,218537,23474,76,#26A69A,"1240,5 M€",218 537 aides,23 474 entreprises
Commerce,479596599.95,172942,35733,76,#29B6F6,"479,6 M€",172 942 aides,35 733 entreprises
"Activités spécialisées, scientifiques et techniques",294875669.26,95943,19785,76,#FFA726,"294,9 M€",95 943 aides,19 785 entreprises
Autres activités de services,165473069.37,90959,20300,76,#5E35B1,"165,5 M€",90 959 aides,20 300 entreprises
Construction,140643579.15,89127,29728,76,#42A5F5,"140,6 M€",89 127 aides,29 728 entreprises
"Arts, spectacles et activités récréatives",275202126.41,86386,10399,76,#8E24AA,"275,2 M€",86 386 aides,10 399 entreprises
Enseignement,101996168.59,60981,9891,76,#00897B,"102,0 M€",60 981 aides,9 891 entreprises
Santé humaine et action sociale,65597821.00,48532,19342,76,#E53935,"65,6 M€",48 532 aides,19 342 entreprises
Activités de services administratifs et de soutien,148676822.71,44119,9042,76,#FF7043,"148,7 M€",44 119 aides,9 042 entreprises
Industrie manufacturière,81031565.39,40033,9535,76,#AB47BC,"81,0 M€",40 033 aides,9 535 entreprises
Autres sections NAF,344470182.06,128536,26456,76,#AAAAAA,"344,5 M€",128 536 aides,26 456 entreprises
Hébergement et restauration,1822785732.93,280045,29606,84,#26A69A,"1822,8 M€",280 045 aides,29 606 entreprises
Commerce,689117224.57,186946,40104,84,#29B6F6,"689,1 M€",186 946 aides,40 104 entreprises
Enseignement,296813328.98,134803,19594,84,#00897B,"296,8 M€",134 803 aides,19 594 entreprises
"Activités spécialisées, scientifiques et techniques",416785327.96,119791,25292,84,#FFA726,"416,8 M€",119 791 aides,25 292 entreprises
"Arts, spectacles et activités récréatives",389687592.15,109648,13555,84,#8E24AA,"389,7 M€",109 648 aides,13 555 entreprises
Autres activités de services,229707440.87,108588,24268,84,#5E35B1,"229,7 M€",108 588 aides,24 268 entreprises
Construction,162016225.21,94584,32200,84,#42A5F5,"162,0 M€",94 584 aides,32 200 entreprises
Transports et entreposage,663782538.67,70419,10051,84,#26C6DA,"663,8 M€",70 419 aides,10 051 entreprises
Santé humaine et action sociale,83544709.60,60623,23691,84,#E53935,"83,5 M€",60 623 aides,23 691 entreprises
Activités de services administratifs et de soutien,243855790.00,57745,11399,84,#FF7043,"243,9 M€",57 745 aides,11 399 entreprises
Autres sections NAF,390582379.47,149156,35127,84,#AAAAAA,"390,6 M€",149 156 aides,35 127 entreprises
Hébergement et restauration,1424228800.56,222408,23433,93,#26A69A,"1424,2 M€",222 408 aides,23 433 entreprises
Commerce,617041831.24,195995,37728,93,#29B6F6,"617,0 M€",195 995 aides,37 728 entreprises
"Activités spécialisées, scientifiques et techniques",327973157.91,104081,21216,93,#FFA726,"328,0 M€",104 081 aides,21 216 entreprises
Autres activités de services,179485982.41,95019,19883,93,#5E35B1,"179,5 M€",95 019 aides,19 883 entreprises
Construction,136193302.00,82949,26092,93,#42A5F5,"136,2 M€",82 949 aides,26 092 entreprises
"Arts, spectacles et activités récréatives",287241695.77,81715,9701,93,#8E24AA,"287,2 M€",81 715 aides,9 701 entreprises
Transports et entreposage,262161446.50,75715,9356,93,#26C6DA,"262,2 M€",75 715 aides,9 356 entreprises
Enseignement,125009413.19,67369,10279,93,#00897B,"125,0 M€",67 369 aides,10 279 entreprises
Activités de services administratifs et de soutien,228540595.89,59024,10930,93,#FF7043,"228,5 M€",59 024 aides,10 930 entreprises
Santé humaine et action sociale,60618367.00,44882,17375,93,#E53935,"60,6 M€",44 882 aides,17 375 entreprises
Autres sections NAF,311339241.37,123430,26507,93,#AAAAAA,"311,3 M€",123 430 aides,26 507 entreprises
Hébergement et restauration,168185759.57,26321,2826,94,#26A69A,"168,2 M€",26 321 aides,2 826 entreprises
Commerce,60222112.00,14814,2643,94,#29B6F6,"60,2 M€",14 814 aides,2 643 entreprises
"Activités spécialisées, scientifiques et techniques",48161944.67,10886,1848,94,#FFA726,"48,2 M€",10 886 aides,1 848 entreprises
Construction,13524825.00,8056,2466,94,#42A5F5,"13,5 M€",8 056 aides,2 466 entreprises
Autres activités de services,12535731.93,6287,1289,94,#5E35B1,"12,5 M€",6 287 aides,1 289 entreprises
Activités de services administratifs et de soutien,19380387.00,5420,948,94,#FF7043,"19,4 M€",5 420 aides,948 entreprises
"Agriculture, sylviculture et pêche",10865515.00,5322,1139,94,#EF5350,"10,9 M€",5 322 aides,1 139 entreprises
"Arts, spectacles et activités récréatives",18919823.84,4870,558,94,#8E24AA,"18,9 M€",4 870 aides,558 entreprises
Industrie manufacturière,9507470.00,4481,912,94,#AB47BC,"9,5 M€",4 481 aides,912 entreprises
Activités immobilières,12567534.00,4155,710,94,#FFCA28,"12,6 M€",4 155 aides,710 entreprises
Autres sections NAF,24449024.84,9207,2034,94,#AAAAAA,"24,4 M€",9 207 aides,2 034 entreprises
