libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
"Activités spécialisées, scientifiques et techniques",124336.00,196.00,81,#FFA726,"0,1 M€",196 aides
Autres sections NAF,401289.00,639.00,81,#AAAAAA,"0,4 M€",639 aides
Commerce,469768.00,636.00,972,#29B6F6,"0,5 M€",636 aides
Construction,397024.00,514.00,972,#42A5F5,"0,4 M€",514 aides
Transports et entreposage,278684.00,329.00,972,#26C6DA,"0,3 M€",329 aides
Industrie manufacturière,237969.00,330.00,972,#AB47BC,"0,2 M€",330 aides
Non connu,222330.00,215.00,972,#AAAAAA,"0,2 M€",215 aides
Autres activités de services,187631.00,313.00,972,#5E35B1,"0,2 M€",313 aides
Hébergement et restauration,169286.00,215.00,972,#26A69A,"0,2 M€",215 aides
Activités de services administratifs et de soutien,164351.00,230.00,972,#FF7043,"0,2 M€",230 aides
"Activités spécialisées, scientifiques et techniques",98419.00,144.00,972,#FFA726,"0,1 M€",144 aides
Activités immobilières,57845.00,65.00,972,#FFCA28,"0,1 M€",65 aides
Autres sections NAF,155649.00,222.00,972,#AAAAAA,"0,2 M€",222 aides
Commerce,285982.00,321.00,973,#29B6F6,"0,3 M€",321 aides
Construction,179619.00,221.00,973,#42A5F5,"0,2 M€",221 aides
Hébergement et restauration,99495.00,126.00,973,#26A69A,"0,1 M€",126 aides
Industrie manufacturière,96754.00,143.00,973,#AB47BC,"0,1 M€",143 aides
Transports et entreposage,76087.00,89.00,973,#26C6DA,"0,1 M€",89 aides
Activités de services administratifs et de soutien,56073.00,85.00,973,#FF7043,"0,1 M€",85 aides
Autres activités de services,48362.00,76.00,973,#5E35B1,"0,0 M€",76 aides
Non connu,32710.00,31.00,973,#AAAAAA,"0,0 M€",31 aides
"Activités spécialisées, scientifiques et techniques",22997.00,42.00,973,#FFA726,"0,0 M€",42 aides
Activités immobilières,14407.00,16.00,973,#FFCA28,"0,0 M€",16 aides
Autres sections NAF,65253.00,90.00,973,#AAAAAA,"0,1 M€",90 aides
Construction,5841735.00,6746.00,06,#42A5F5,"5,8 M€",6 746 aides
Commerce,5057303.00,6396.00,06,#29B6F6,"5,1 M€",6 396 aides
Autres activités de services,2104153.00,3333.00,06,#5E35B1,"2,1 M€",3 333 aides
Hébergement et restauration,2051250.00,2380.00,06,#26A69A,"2,1 M€",2 380 aides
Activités de services administratifs et de soutien,1664260.00,2482.00,06,#FF7043,"1,7 M€",2 482 aides
Activités immobilières,1630211.00,1833.00,06,#FFCA28,"1,6 M€",1 833 aides
Industrie manufacturière,1607177.00,2020.00,06,#AB47BC,"1,6 M€",2 020 aides
Transports et entreposage,1334109.00,1592.00,06,#26C6DA,"1,3 M€",1 592 aides
Non connu,1241267.00,1211.00,06,#AAAAAA,"1,2 M€",1 211 aides
"Activités spécialisées, scientifiques et techniques",973095.00,1477.00,06,#FFA726,"1,0 M€",1 477 aides
Autres sections NAF,1434037.00,2200.00,06,#AAAAAA,"1,4 M€",2 200 aides
Construction,1535156.00,1561.00,28,#42A5F5,"1,5 M€",1 561 aides
Commerce,1105583.00,1383.00,28,#29B6F6,"1,1 M€",1 383 aides
Autres activités de services,547027.00,782.00,28,#5E35B1,"0,5 M€",782 aides
Industrie manufacturière,530842.00,608.00,28,#AB47BC,"0,5 M€",608 aides
Non connu,509124.00,457.00,28,#AAAAAA,"0,5 M€",457 aides
Hébergement et restauration,443963.00,494.00,28,#26A69A,"0,4 M€",494 aides
Transports et entreposage,263468.00,260.00,28,#26C6DA,"0,3 M€",260 aides
Activités de services administratifs et de soutien,207932.00,320.00,28,#FF7043,"0,2 M€",320 aides
Activités immobilières,158645.00,164.00,28,#FFCA28,"0,2 M€",164 aides
"Activités spécialisées, scientifiques et techniques",148125.00,205.00,28,#FFA726,"0,1 M€",205 aides
Autres sections NAF,337526.00,509.00,28,#AAAAAA,"0,3 M€",509 aides
Construction,2862983.00,3284.00,84,#42A5F5,"2,9 M€",3 284 aides
Commerce,2534269.00,3397.00,84,#29B6F6,"2,5 M€",3 397 aides
Hébergement et restauration,964255.00,1214.00,84,#26A69A,"1,0 M€",1 214 aides
Non connu,934628.00,892.00,84,#AAAAAA,"0,9 M€",892 aides
Autres activités de services,914696.00,1569.00,84,#5E35B1,"0,9 M€",1 569 aides
Industrie manufacturière,883053.00,1217.00,84,#AB47BC,"0,9 M€",1 217 aides
Activités de services administratifs et de soutien,461939.00,752.00,84,#FF7043,"0,5 M€",752 aides
Activités immobilières,391772.00,432.00,84,#FFCA28,"0,4 M€",432 aides
"Activités spécialisées, scientifiques et techniques",284829.00,442.00,84,#FFA726,"0,3 M€",442 aides
Transports et entreposage,276971.00,291.00,84,#26C6DA,"0,3 M€",291 aides
Autres sections NAF,599847.00,948.00,84,#AAAAAA,"0,6 M€",948 aides
Construction,2948072.00,3014.00,01,#42A5F5,"2,9 M€",3 014 aides
Commerce,2143265.00,2529.00,01,#29B6F6,"2,1 M€",2 529 aides
Industrie manufacturière,1091899.00,1243.00,01,#AB47BC,"1,1 M€",1 243 aides
Autres activités de services,1011175.00,1418.00,01,#5E35B1,"1,0 M€",1 418 aides
Hébergement et restauration,780481.00,871.00,01,#26A69A,"0,8 M€",871 aides
Non connu,772021.00,686.00,01,#AAAAAA,"0,8 M€",686 aides
Activités de services administratifs et de soutien,404627.00,618.00,01,#FF7043,"0,4 M€",618 aides
Activités immobilières,381880.00,399.00,01,#FFCA28,"0,4 M€",399 aides
Transports et entreposage,326505.00,323.00,01,#26C6DA,"0,3 M€",323 aides
"Activités spécialisées, scientifiques et techniques",281238.00,417.00,01,#FFA726,"0,3 M€",417 aides
Autres sections NAF,542746.00,895.00,01,#AAAAAA,"0,5 M€",895 aides
Construction,7450692.00,7976.00,33,#42A5F5,"7,5 M€",7 976 aides
Commerce,6209154.00,7732.00,33,#29B6F6,"6,2 M€",7 732 aides
Autres activités de services,2697053.00,4124.00,33,#5E35B1,"2,7 M€",4 124 aides
Hébergement et restauration,2150843.00,2538.00,33,#26A69A,"2,2 M€",2 538 aides
Non connu,2069277.00,1941.00,33,#AAAAAA,"2,1 M€",1 941 aides
Industrie manufacturière,2052587.00,2570.00,33,#AB47BC,"2,1 M€",2 570 aides
Activités immobilières,1223803.00,1261.00,33,#FFCA28,"1,2 M€",1 261 aides
Activités de services administratifs et de soutien,1203663.00,1773.00,33,#FF7043,"1,2 M€",1 773 aides
Transports et entreposage,1043678.00,1278.00,33,#26C6DA,"1,0 M€",1 278 aides
"Activités spécialisées, scientifiques et techniques",966882.00,1517.00,33,#FFA726,"1,0 M€",1 517 aides
Autres sections NAF,1867778.00,2848.00,33,#AAAAAA,"1,9 M€",2 848 aides
Construction,1580587.00,1679.00,02,#42A5F5,"1,6 M€",1 679 aides
Commerce,1161372.00,1554.00,02,#29B6F6,"1,2 M€",1 554 aides
Autres activités de services,594540.00,925.00,02,#5E35B1,"0,6 M€",925 aides
Industrie manufacturière,554708.00,657.00,02,#AB47BC,"0,6 M€",657 aides
Hébergement et restauration,532703.00,608.00,02,#26A69A,"0,5 M€",608 aides
Non connu,332118.00,313.00,02,#AAAAAA,"0,3 M€",313 aides
Transports et entreposage,239861.00,234.00,02,#26C6DA,"0,2 M€",234 aides
Activités immobilières,141621.00,156.00,02,#FFCA28,"0,1 M€",156 aides
Activités de services administratifs et de soutien,132734.00,251.00,02,#FF7043,"0,1 M€",251 aides
"Activités spécialisées, scientifiques et techniques",128546.00,207.00,02,#FFA726,"0,1 M€",207 aides
Autres sections NAF,345566.00,528.00,02,#AAAAAA,"0,3 M€",528 aides
Construction,4131426.00,3940.00,35,#42A5F5,"4,1 M€",3 940 aides
Commerce,4051466.00,4444.00,35,#29B6F6,"4,1 M€",4 444 aides
Hébergement et restauration,2177554.00,2323.00,35,#26A69A,"2,2 M€",2 323 aides
Industrie manufacturière,1747845.00,2002.00,35,#AB47BC,"1,7 M€",2 002 aides
Autres activités de services,1581869.00,2036.00,35,#5E35B1,"1,6 M€",2 036 aides
Non connu,1194801.00,1113.00,35,#AAAAAA,"1,2 M€",1 113 aides
Activités immobilières,830151.00,824.00,35,#FFCA28,"0,8 M€",824 aides
Transports et entreposage,613082.00,656.00,35,#26C6DA,"0,6 M€",656 aides
"Activités spécialisées, scientifiques et techniques",571588.00,815.00,35,#FFA726,"0,6 M€",815 aides
Activités de services administratifs et de soutien,502334.00,687.00,35,#FF7043,"0,5 M€",687 aides
Autres sections NAF,1309529.00,1788.00,35,#AAAAAA,"1,3 M€",1 788 aides
Construction,903603.00,972.00,05,#42A5F5,"0,9 M€",972 aides
Commerce,811517.00,910.00,05,#29B6F6,"0,8 M€",910 aides
Hébergement et restauration,619927.00,735.00,05,#26A69A,"0,6 M€",735 aides
Industrie manufacturière,310293.00,420.00,05,#AB47BC,"0,3 M€",420 aides
Non connu,294702.00,292.00,05,#AAAAAA,"0,3 M€",292 aides
Autres activités de services,263722.00,382.00,05,#5E35B1,"0,3 M€",382 aides
Activités immobilières,149218.00,169.00,05,#FFCA28,"0,1 M€",169 aides
Activités de services administratifs et de soutien,137955.00,197.00,05,#FF7043,"0,1 M€",197 aides
Transports et entreposage,103759.00,109.00,05,#26C6DA,"0,1 M€",109 aides
"Activités spécialisées, scientifiques et techniques",82859.00,127.00,05,#FFA726,"0,1 M€",127 aides
Autres sections NAF,260146.00,393.00,05,#AAAAAA,"0,3 M€",393 aides
Construction,3115411.00,3049.00,22,#42A5F5,"3,1 M€",3 049 aides
Commerce,2674648.00,3080.00,22,#29B6F6,"2,7 M€",3 080 aides
Hébergement et restauration,1580365.00,1776.00,22,#26A69A,"1,6 M€",1 776 aides
Autres activités de services,1034505.00,1285.00,22,#5E35B1,"1,0 M€",1 285 aides
Industrie manufacturière,1034122.00,1212.00,22,#AB47BC,"1,0 M€",1 212 aides
Non connu,747186.00,699.00,22,#AAAAAA,"0,7 M€",699 aides
Activités immobilières,441729.00,423.00,22,#FFCA28,"0,4 M€",423 aides
Transports et entreposage,373896.00,351.00,22,#26C6DA,"0,4 M€",351 aides
Activités de services administratifs et de soutien,255934.00,389.00,22,#FF7043,"0,3 M€",389 aides
"Activités spécialisées, scientifiques et techniques",221001.00,310.00,22,#FFA726,"0,2 M€",310 aides
Autres sections NAF,612632.00,903.00,22,#AAAAAA,"0,6 M€",903 aides
Construction,1051558.00,1162.00,46,#42A5F5,"1,1 M€",1 162 aides
Commerce,814408.00,992.00,46,#29B6F6,"0,8 M€",992 aides
Hébergement et restauration,425279.00,553.00,46,#26A69A,"0,4 M€",553 aides
Industrie manufacturière,347432.00,477.00,46,#AB47BC,"0,3 M€",477 aides
Autres activités de services,322990.00,475.00,46,#5E35B1,"0,3 M€",475 aides
Non connu,208527.00,206.00,46,#AAAAAA,"0,2 M€",206 aides
Activités immobilières,109700.00,123.00,46,#FFCA28,"0,1 M€",123 aides
Activités de services administratifs et de soutien,84821.00,159.00,46,#FF7043,"0,1 M€",159 aides
Transports et entreposage,82437.00,80.00,46,#26C6DA,"0,1 M€",80 aides
"Activités spécialisées, scientifiques et techniques",68867.00,102.00,46,#FFA726,"0,1 M€",102 aides
Autres sections NAF,194741.00,320.00,46,#AAAAAA,"0,2 M€",320 aides
Construction,3734208.00,3500.00,85,#42A5F5,"3,7 M€",3 500 aides
Commerce,2718023.00,3041.00,85,#29B6F6,"2,7 M€",3 041 aides
Non connu,1389788.00,1254.00,85,#AAAAAA,"1,4 M€",1 254 aides
Hébergement et restauration,1345955.00,1470.00,85,#26A69A,"1,3 M€",1 470 aides
Autres activités de services,1312050.00,1638.00,85,#5E35B1,"1,3 M€",1 638 aides
Industrie manufacturière,1224966.00,1407.00,85,#AB47BC,"1,2 M€",1 407 aides
Activités immobilières,694810.00,703.00,85,#FFCA28,"0,7 M€",703 aides
Activités de services administratifs et de soutien,350630.00,496.00,85,#FF7043,"0,4 M€",496 aides
Transports et entreposage,314957.00,304.00,85,#26C6DA,"0,3 M€",304 aides
"Activités spécialisées, scientifiques et techniques",295949.00,418.00,85,#FFA726,"0,3 M€",418 aides
Autres sections NAF,759132.00,1091.00,85,#AAAAAA,"0,8 M€",1 091 aides
Construction,1620031.00,1637.00,79,#42A5F5,"1,6 M€",1 637 aides
Commerce,1211535.00,1448.00,79,#29B6F6,"1,2 M€",1 448 aides
Autres activités de services,603157.00,799.00,79,#5E35B1,"0,6 M€",799 aides
Industrie manufacturière,588717.00,705.00,79,#AB47BC,"0,6 M€",705 aides
