libelle_section_naf,montant,nombre,reg,color,montant_fr,nombre_fr
Non connu,460729.00,468.00,04,#AAAAAA,"0,5 M€",468 aides
Activités de services administratifs et de soutien,341573.00,473.00,04,#FF7043,"0,3 M€",473 aides
"Activités spécialisées, scientifiques et techniques",233708.00,345.00,04,#FFA726,"0,2 M€",345 aides
Activités immobilières,211937.00,226.00,04,#FFCA28,"0,2 M€",226 aides
Autres sections NAF,636828.00,861.00,04,#AAAAAA,"0,6 M€",861 aides
Construction,28903319.00,30886.00,75,#42A5F5,"28,9 M€",30 886 aides
Commerce,23014657.00,28731.00,75,#29B6F6,"23,0 M€",28 731 aides
Autres activités de services,10604416.00,15469.00,75,#5E35B1,"10,6 M€",15 469 aides
Hébergement et restauration,9806061.00,12054.00,75,#26A69A,"9,8 M€",12 054 aides
Industrie manufacturière,9249683.00,11721.00,75,#AB47BC,"9,2 M€",11 721 aides
Non connu,7000299.00,6631.00,75,#AAAAAA,"7,0 M€",6 631 aides
Activités immobilières,4553210.00,4894.00,75,#FFCA28,"4,6 M€",4 894 aides
Activités de services administratifs et de soutien,3558919.00,5772.00,75,#FF7043,"3,6 M€",5 772 aides
Transports et entreposage,3362014.00,3578.00,75,#26C6DA,"3,4 M€",3 578 aides
"Activités spécialisées, scientifiques et techniques",2782177.00,4355.00,75,#FFA726,"2,8 M€",4 355 aides
Autres sections NAF,6474920.00,10049.00,75,#AAAAAA,"6,5 M€",10 049 aides
Construction,10490363.00,10627.00,27,#42A5F5,"10,5 M€",10 627 aides
Commerce,9256961.00,11323.00,27,#29B6F6,"9,3 M€",11 323 aides
Autres activités de services,4232221.00,5624.00,27,#5E35B1,"4,2 M€",5 624 aides
Industrie manufacturière,4068926.00,4848.00,27,#AB47BC,"4,1 M€",4 848 aides
Hébergement et restauration,4055276.00,4727.00,27,#26A69A,"4,1 M€",4 727 aides
Non connu,2786949.00,2567.00,27,#AAAAAA,"2,8 M€",2 567 aides
Transports et entreposage,1425695.00,1381.00,27,#26C6DA,"1,4 M€",1 381 aides
Activités immobilières,1396729.00,1466.00,27,#FFCA28,"1,4 M€",1 466 aides
Activités de services administratifs et de soutien,1188609.00,1756.00,27,#FF7043,"1,2 M€",1 756 aides
"Activités spécialisées, scientifiques et techniques",963072.00,1422.00,27,#FFA726,"1,0 M€",1 422 aides
Autres sections NAF,2532941.00,3858.00,27,#AAAAAA,"2,5 M€",3 858 aides
Commerce,285982.00,321.00,03,#29B6F6,"0,3 M€",321 aides
Construction,179619.00,221.00,03,#42A5F5,"0,2 M€",221 aides
Hébergement et restauration,99495.00,126.00,03,#26A69A,"0,1 M€",126 aides
Industrie manufacturière,96754.00,143.00,03,#AB47BC,"0,1 M€",143 aides
Transports et entreposage,76087.00,89.00,03,#26C6DA,"0,1 M€",89 aides
Activités de services administratifs et de soutien,56073.00,85.00,03,#FF7043,"0,1 M€",85 aides
Autres activités de services,48362.00,76.00,03,#5E35B1,"0,0 M€",76 aides
Non connu,32710.00,31.00,03,#AAAAAA,"0,0 M€",31 aides
"Activités spécialisées, scientifiques et techniques",22997.00,42.00,03,#FFA726,"0,0 M€",42 aides
Activités immobilières,14407.00,16.00,03,#FFCA28,"0,0 M€",16 aides
Autres sections NAF,65253.00,90.00,03,#AAAAAA,"0,1 M€",90 aides
Commerce,638283.00,882.00,01,#29B6F6,"0,6 M€",882 aides
Construction,490866.00,698.00,01,#42A5F5,"0,5 M€",698 aides
Industrie manufacturière,254761.00,391.00,01,#AB47BC,"0,3 M€",391 aides
Hébergement et restauration,238216.00,361.00,01,#26A69A,"0,2 M€",361 aides
Activités de services administratifs et de soutien,202256.00,326.00,01,#FF7043,"0,2 M€",326 aides
Autres activités de services,179044.00,313.00,01,#5E35B1,"0,2 M€",313 aides
Transports et entreposage,175163.00,228.00,01,#26C6DA,"0,2 M€",228 aides
Non connu,141372.00,147.00,01,#AAAAAA,"0,1 M€",147 aides
"Activités spécialisées, scientifiques et techniques",108909.00,168.00,01,#FFA726,"0,1 M€",168 aides
Activités immobilières,99206.00,116.00,01,#FFCA28,"0,1 M€",116 aides
Autres sections NAF,180830.00,294.00,01,#AAAAAA,"0,2 M€",294 aides
Construction,14809298.00,15765.00,44,#42A5F5,"14,8 M€",15 765 aides
Commerce,14079746.00,17769.00,44,#29B6F6,"14,1 M€",17 769 aides
Autres activités de services,7211699.00,10526.00,44,#5E35B1,"7,2 M€",10 526 aides
Industrie manufacturière,6131573.00,7236.00,44,#AB47BC,"6,1 M€",7 236 aides
Hébergement et restauration,5900755.00,6776.00,44,#26A69A,"5,9 M€",6 776 aides
Non connu,4222312.00,3958.00,44,#AAAAAA,"4,2 M€",3 958 aides
Activités immobilières,2399318.00,2474.00,44,#FFCA28,"2,4 M€",2 474 aides
Transports et entreposage,2235562.00,2415.00,44,#26C6DA,"2,2 M€",2 415 aides
Activités de services administratifs et de soutien,2017384.00,3109.00,44,#FF7043,"2,0 M€",3 109 aides
"Activités spécialisées, scientifiques et techniques",1982092.00,2949.00,44,#FFA726,"2,0 M€",2 949 aides
Autres sections NAF,4401584.00,6762.00,44,#AAAAAA,"4,4 M€",6 762 aides
Construction,26274571.00,29945.00,76,#42A5F5,"26,3 M€",29 945 aides
Commerce,21716297.00,28054.00,76,#29B6F6,"21,7 M€",28 054 aides
Autres activités de services,8935302.00,13986.00,76,#5E35B1,"8,9 M€",13 986 aides
Hébergement et restauration,8758203.00,11188.00,76,#26A69A,"8,8 M€",11 188 aides
Industrie manufacturière,7884301.00,10349.00,76,#AB47BC,"7,9 M€",10 349 aides
Non connu,6449625.00,6252.00,76,#AAAAAA,"6,4 M€",6 252 aides
Activités immobilières,4257385.00,4720.00,76,#FFCA28,"4,3 M€",4 720 aides
Activités de services administratifs et de soutien,3585483.00,5843.00,76,#FF7043,"3,6 M€",5 843 aides
Transports et entreposage,2881197.00,3208.00,76,#26C6DA,"2,9 M€",3 208 aides
"Activités spécialisées, scientifiques et techniques",2647540.00,4224.00,76,#FFA726,"2,6 M€",4 224 aides
Autres sections NAF,6309456.00,9836.00,76,#AAAAAA,"6,3 M€",9 836 aides
Construction,11985089.00,12190.00,28,#42A5F5,"12,0 M€",12 190 aides
Commerce,11380502.00,13742.00,28,#29B6F6,"11,4 M€",13 742 aides
Hébergement et restauration,5286947.00,5900.00,28,#26A69A,"5,3 M€",5 900 aides
Autres activités de services,4923728.00,6877.00,28,#5E35B1,"4,9 M€",6 877 aides
Industrie manufacturière,4740762.00,5387.00,28,#AB47BC,"4,7 M€",5 387 aides
Non connu,2437877.00,2267.00,28,#AAAAAA,"2,4 M€",2 267 aides
Transports et entreposage,1726991.00,1748.00,28,#26C6DA,"1,7 M€",1 748 aides
Activités immobilières,1611022.00,1676.00,28,#FFCA28,"1,6 M€",1 676 aides
"Activités spécialisées, scientifiques et techniques",1243300.00,1833.00,28,#FFA726,"1,2 M€",1 833 aides
Activités de services administratifs et de soutien,1220306.00,1937.00,28,#FF7043,"1,2 M€",1 937 aides
Autres sections NAF,2956093.00,4393.00,28,#AAAAAA,"3,0 M€",4 393 aides
Construction,14872462.00,14640.00,53,#42A5F5,"14,9 M€",14 640 aides
Commerce,12831589.00,14534.00,53,#29B6F6,"12,8 M€",14 534 aides
Hébergement et restauration,7835124.00,8537.00,53,#26A69A,"7,8 M€",8 537 aides
Industrie manufacturière,5710955.00,6824.00,53,#AB47BC,"5,7 M€",6 824 aides
Autres activités de services,5400442.00,6984.00,53,#5E35B1,"5,4 M€",6 984 aides
Non connu,4340653.00,4059.00,53,#AAAAAA,"4,3 M€",4 059 aides
Activités immobilières,2455601.00,2454.00,53,#FFCA28,"2,5 M€",2 454 aides
Transports et entreposage,1931800.00,1947.00,53,#26C6DA,"1,9 M€",1 947 aides
Activités de services administratifs et de soutien,1551469.00,2303.00,53,#FF7043,"1,6 M€",2 303 aides
"Activités spécialisées, scientifiques et techniques",1460198.00,2101.00,53,#FFA726,"1,5 M€",2 101 aides
Autres sections NAF,3646649.00,5128.00,53,#AAAAAA,"3,6 M€",5 128 aides
Construction,9595074.00,9832.00,24,#42A5F5,"9,6 M€",9 832 aides
Commerce,7471076.00,9477.00,24,#29B6F6,"7,5 M€",9 477 aides
Autres activités de services,3801298.00,5289.00,24,#5E35B1,"3,8 M€",5 289 aides
Industrie manufacturière,3639505.00,4331.00,24,#AB47BC,"3,6 M€",4 331 aides
Hébergement et restauration,3271667.00,3811.00,24,#26A69A,"3,3 M€",3 811 aides
Non connu,2658059.00,2428.00,24,#AAAAAA,"2,7 M€",2 428 aides
Transports et entreposage,1418004.00,1415.00,24,#26C6DA,"1,4 M€",1 415 aides
Activités immobilières,1244649.00,1312.00,24,#FFCA28,"1,2 M€",1 312 aides
Activités de services administratifs et de soutien,1096652.00,1745.00,24,#FF7043,"1,1 M€",1 745 aides
"Activités spécialisées, scientifiques et techniques",928745.00,1404.00,24,#FFA726,"0,9 M€",1 404 aides
Autres sections NAF,2172939.00,3303.00,24,#AAAAAA,"2,2 M€",3 303 aides
Construction,13781117.00,14757.00,32,#42A5F5,"13,8 M€",14 757 aides
Commerce,13328192.00,17613.00,32,#29B6F6,"13,3 M€",17 613 aides
Autres activités de services,6770297.00,10292.00,32,#5E35B1,"6,8 M€",10 292 aides
Hébergement et restauration,6064143.00,7093.00,32,#26A69A,"6,1 M€",7 093 aides
Industrie manufacturière,5165267.00,6149.00,32,#AB47BC,"5,2 M€",6 149 aides
Non connu,4322677.00,4019.00,32,#AAAAAA,"4,3 M€",4 019 aides
Transports et entreposage,2796536.00,3020.00,32,#26C6DA,"2,8 M€",3 020 aides
Activités immobilières,2026804.00,2134.00,32,#FFCA28,"2,0 M€",2 134 aides
"Activités spécialisées, scientifiques et techniques",1938129.00,2967.00,32,#FFA726,"1,9 M€",2 967 aides
Activités de services administratifs et de soutien,1926929.00,3097.00,32,#FF7043,"1,9 M€",3 097 aides
Autres sections NAF,4331135.00,6484.00,32,#AAAAAA,"4,3 M€",6 484 aides
Commerce,469768.00,636.00,02,#29B6F6,"0,5 M€",636 aides
Construction,397024.00,514.00,02,#42A5F5,"0,4 M€",514 aides
Transports et entreposage,278684.00,329.00,02,#26C6DA,"0,3 M€",329 aides
Industrie manufacturière,237969.00,330.00,02,#AB47BC,"0,2 M€",330 aides
Non connu,222330.00,215.00,02,#AAAAAA,"0,2 M€",215 aides
Autres activités de services,187631.00,313.00,02,#5E35B1,"0,2 M€",313 aides
Hébergement et restauration,169286.00,215.00,02,#26A69A,"0,2 M€",215 aides
Activités de services administratifs et de soutien,164351.00,230.00,02,#FF7043,"0,2 M€",230 aides
"Activités spécialisées, scientifiques et techniques",98419.00,144.00,02,#FFA726,"0,1 M€",144 aides
Activités immobilières,57845.00,65.00,02,#FFCA28,"0,1 M€",65 aides
Autres sections NAF,155649.00,222.00,02,#AAAAAA,"0,2 M€",222 aides
Construction,35347947.00,36850.00,84,#42A5F5,"35,3 M€",36 850 aides
Commerce,29642218.00,35529.00,84,#29B6F6,"29,6 M€",35 529 aides
Hébergement et restauration,13871814.00,15953.00,84,#26A69A,"13,9 M€",15 953 aides
Industrie manufacturière,12877921.00,15379.00,84,#AB47BC,"12,9 M€",15 379 aides
Autres activités de services,12398740.00,17563.00,84,#5E35B1,"12,4 M€",17 563 aides
Non connu,9019806.00,8373.00,84,#AAAAAA,"9,0 M€",8 373 aides
Activités immobilières,6342724.00,6637.00,84,#FFCA28,"6,3 M€",6 637 aides
Activités de services administratifs et de soutien,5844250.00,8519.00,84,#FF7043,"5,8 M€",8 519 aides
Transports et entreposage,4941909.00,5546.00,84,#26C6DA,"4,9 M€",5 546 aides
"Activités spécialisées, scientifiques et techniques",4306335.00,6572.00,84,#FFA726,"4,3 M€",6 572 aides
Autres sections NAF,9091806.00,13856.00,84,#AAAAAA,"9,1 M€",13 856 aides
